country,year,flare_volume_bcm
Albania,2012,0.0004875559495704
Algeria,2012,9.894382456349025
Angola,2012,3.629551773158995
Argentina,2012,0.272952713424603
Australia,2012,1.00392539988335
Austria,2012,0.0
Azerbaijan,2012,0.34208186683219216
Bahrain,2012,0.025409364385577785
Bangladesh,2012,0.0014300481809898845
Belarus,2012,0.0008943433833676999
Belize,2012,0.000653805193454
Bolivia,2012,0.028703981779952804
Brazil,2012,1.0484820445027327
Brunei,2012,0.2084034627977562
Cambodia,2012,0.0
Cameroon,2012,0.47378787928292504
Canada,2012,0.418454070932602
Chad,2012,0.08975445251602715
Chile,2012,0.011626622066837808
China,2012,0.8191331613896096
Colombia,2012,0.46956255872736274
"Congo, Rep.",2012,0.9300176689581677
Croatia,2012,0.0023122178571477006
Cuba,2012,0.020992169005138048
Dem Rep of the Congo,2012,0.18336037816828776
Denmark,2012,0.0473812995499908
Ecuador,2012,0.2726924357821076
Egypt,2012,1.741873428794694
Equatorial Guinea,2012,0.6118329438026094
Eritrea,2012,0.0
Ethiopia,2012,0.0003022545609473
France,2012,0.0058172820064435315
Gabon,2012,0.8995459313949252
Georgia,2012,0.0002821528282935
Germany,2012,0.0001058169962775703
Ghana,2012,0.0133953946965531
Greece,2012,0.0022685024096262474
Guatemala,2012,0.0024309689412947088
Guyana,2012,0.0
Hungary,2012,0.002589397594623933
India,2012,1.4172604483990143
Indonesia,2012,2.264473866029874
Iran,2012,13.852352962729354
Iraq,2012,21.043309323766803
Israel,2012,0.0004848110278894949
Italy,2012,0.0010388495826255
Ivory Coast,2012,0.0765333931428087
Japan,2012,0.000137763944283
Jordan,2012,3.03533567118332e-05
Kazakhstan,2012,5.515820980326045
Kuwait,2012,1.0540494025735234
Kyrgyzstan,2012,0.0
Libya,2012,6.845384908046159
Malaysia,2012,2.1688730700513386
Mauritania,2012,0.0371633536942264
Mexico,2012,4.354535118063436
Mongolia,2012,0.0016473452023919
Morocco,2012,0.0
Mozambique,2012,0.0285277057262865
Myanmar,2012,0.0557179885835873
Netherlands,2012,0.0024296495445716
New Zealand,2012,0.06987887333416454
Niger,2012,0.0251889101559439
Nigeria,2012,9.275499294403994
Norway,2012,0.20479836600207707
Oman,2012,1.4552949425608026
Pakistan,2012,0.3359798779606893
Panama,2012,0.0
Papua New Guinea,2012,0.024918341374306898
Peru,2012,0.03913110970724159
Philippines,2012,0.0850306090954454
Poland,2012,0.008299899458053699
Qatar,2012,2.2104174243453936
Romania,2012,0.008360729219488161
Russia,2012,19.255298147690493
Rwanda,2012,0.0
Saudi Arabia,2012,1.4443162561568603
Senegal,2012,0.0
Serbia,2012,0.0022058797320467
Singapore,2012,0.0
South Africa,2012,0.017219602068514
South Korea,2012,0.0
Spain,2012,0.0001631361639077
Sudan,2012,0.2625321778790884
Sweden,2012,0.000362567361572
Syria,2012,0.4456042237823313
Tanzania,2012,0.0007095391359533
Thailand,2012,0.37460092017830293
Timor-Leste,2012,0.0951814854373084
Trinidad and Tobago,2012,0.40964358449699506
Tunisia,2012,0.3753032080830706
Turkiye,2012,0.001485485051456386
Turkmenistan,2012,2.7775823239616675
Uganda,2012,0.0
Ukraine,2012,0.1139572484733368
United Arab Emirates,2012,0.824355815668684
United Kingdom,2012,0.6957823172359053
United States,2012,3.3676287205022932
Uzbekistan,2012,1.6638779445804392
Venezuela,2012,13.833232937504926
Vietnam,2012,0.5582127809434109
Yemen,2012,1.2251977819649154
Zimbabwe,2012,0.0
Albania,2013,3.257979926476852e-05
Algeria,2013,10.67871040015973
Angola,2013,3.587928941270485
Argentina,2013,0.32862586396191323
Australia,2013,0.8242246803370755
Austria,2013,0.0
Azerbaijan,2013,0.6524545969718138
Bahrain,2013,0.042805091231027007
Bangladesh,2013,0.0029696289748019
Belarus,2013,0.0015177836737419999
Belize,2013,0.0009242621376123
Bolivia,2013,0.03042907056203315
Brazil,2013,0.8581165183356392
Brunei,2013,0.1455051104029641
Cambodia,2013,0.0
Cameroon,2013,0.5300433240989586
Canada,2013,0.5795162232911275
Chad,2013,0.12514117069833663
Chile,2013,0.01433840202007345
China,2013,0.7850290798111859
Colombia,2013,0.3870152302217908
"Congo, Rep.",2013,1.3004684726706048
Croatia,2013,0.003973091330261677
Cuba,2013,0.025111540394981084
Dem Rep of the Congo,2013,0.15189492240012564
Denmark,2013,0.06401335755974949
Ecuador,2013,0.3086493834135717
Egypt,2013,1.589056548053766
Equatorial Guinea,2013,0.6288440995319186
Eritrea,2013,0.0
Ethiopia,2013,0.0
France,2013,0.003222898140229951
Gabon,2013,0.8579419214738917
Georgia,2013,0.0003419666692965
Germany,2013,5.8977981302731633e-05
Ghana,2013,0.0629732809719033
Greece,2013,0.0053114537649765
Guatemala,2013,0.0037025081629352
Guyana,2013,0.0
Hungary,2013,0.0010329439822413212
India,2013,1.1353915976484237
Indonesia,2013,1.8416113038301807
Iran,2013,13.607530079220705
Iraq,2013,21.73612242378511
Israel,2013,0.0003013996248772806
Italy,2013,0.0005620292991470965
Ivory Coast,2013,0.0447419537280588
Japan,2013,3.47362630096263e-05
Jordan,2013,0.0
Kazakhstan,2013,6.068974449722031
Kuwait,2013,1.2663500395904275
Kyrgyzstan,2013,0.0
Libya,2013,4.6171717677285145
Malaysia,2013,2.581734420308212
Mauritania,2013,0.0363137069217955
Mexico,2013,4.427583090514702
Mongolia,2013,0.0015375051888194872
Morocco,2013,0.0
Mozambique,2013,0.0014828629880664
Myanmar,2013,0.07976298113902675
Netherlands,2013,0.005247450401599582
New Zealand,2013,0.03654903070892566
Niger,2013,0.0659459006085956
Nigeria,2013,9.268442414342166
Norway,2013,0.30215063802738595
Oman,2013,1.6964428667763296
Pakistan,2013,0.37760449096665166
Panama,2013,0.0
Papua New Guinea,2013,0.0380110739864598
Peru,2013,0.05641409208128772
Philippines,2013,0.094330930389657
Poland,2013,0.006498406601686282
Qatar,2013,1.8715539612362646
Romania,2013,0.008562129764966401
Russia,2013,17.346632516415724
Rwanda,2013,0.0
Saudi Arabia,2013,1.7168551067633688
Senegal,2013,0.0
Serbia,2013,0.0020935427799946
Singapore,2013,0.0013508861594759
South Africa,2013,0.012194253224036
South Korea,2013,0.0
Spain,2013,0.0172892184442475
Sudan,2013,0.3117612241063734
Sweden,2013,4.31401283604134e-05
Syria,2013,0.3427884116076098
Tanzania,2013,0.000636713754433
Thailand,2013,0.29745473023580166
Timor-Leste,2013,0.0599758319380634
Trinidad and Tobago,2013,0.3418363049038172
Tunisia,2013,0.29576532115631476
Turkiye,2013,0.0010456390233191833
Turkmenistan,2013,2.5021974982838313
Uganda,2013,0.0
Ukraine,2013,0.08369329845319926
United Arab Emirates,2013,1.2114179934088993
United Kingdom,2013,0.7846812635453926
United States,2013,3.551675976445304
Uzbekistan,2013,1.1896178184316577
Venezuela,2013,18.81756705175965
Vietnam,2013,0.7422664134015892
Yemen,2013,1.185884531922805
Zimbabwe,2013,0.0
Albania,2014,0.0012000286202118
Algeria,2014,12.032991757905581
Angola,2014,3.959833176296403
Argentina,2014,0.3613257105551283
Australia,2014,0.8701388950075928
Austria,2014,0.0
Azerbaijan,2014,0.30266001350724714
Bahrain,2014,0.020597919599383833
Bangladesh,2014,0.004272790114399966
Belarus,2014,0.0009863808070250642
Belize,2014,0.0003273812936755
Bolivia,2014,0.027026255595382784
Brazil,2014,1.0216144312505018
Brunei,2014,0.1565292740152115
Cambodia,2014,0.0
Cameroon,2014,0.6106667437080663
Canada,2014,0.6980078005501741
Chad,2014,0.1306794555703248
Chile,2014,0.01822301949296788
China,2014,0.9551573020840478
Colombia,2014,0.36470981968546023
"Congo, Rep.",2014,0.9510365463057638
Croatia,2014,0.0025850329880348277
Cuba,2014,0.04239345616203546
Dem Rep of the Congo,2014,0.18116040312680212
Denmark,2014,0.0713836223040334
Ecuador,2014,0.40563686596241794
Egypt,2014,1.9402794577343523
Equatorial Guinea,2014,0.5803897513104842
Eritrea,2014,0.0
Ethiopia,2014,0.0
France,2014,0.007317189889196137
Gabon,2014,0.8846492362148229
Georgia,2014,0.0004958155583156
Germany,2014,3.92635713549289e-05
Ghana,2014,0.076848283862973
Greece,2014,0.0063787629158331
Guatemala,2014,0.005576875184122801
Guyana,2014,0.0
Hungary,2014,0.0013023552894783756
India,2014,1.2431177629570107
Indonesia,2014,1.5794318791102688
Iran,2014,14.551628574948214
Iraq,2014,23.254208868789465
Israel,2014,9.9765992592638e-05
Italy,2014,0.0005897912012953308
Ivory Coast,2014,0.046869207805535204
Japan,2014,0.0002083978921636
Jordan,2014,0.0
Kazakhstan,2014,6.141020838931001
Kuwait,2014,1.5379470942941247
Kyrgyzstan,2014,0.0013362632116442666
Libya,2014,3.3800211900682036
Malaysia,2014,3.011410890698452
Mauritania,2014,0.0156578565760382
Mexico,2014,5.384833155664181
Mongolia,2014,0.0026525066825362
Morocco,2014,0.0
Mozambique,2014,0.0080656701178299
Myanmar,2014,0.04732730490702945
Netherlands,2014,0.0020752282512395003
New Zealand,2014,0.03065418567224578
Niger,2014,0.0623080586323881
Nigeria,2014,7.901176482949385
Norway,2014,0.20305349359893443
Oman,2014,1.9047564834246384
Pakistan,2014,0.21361460683604747
Panama,2014,0.0022880001288403
Papua New Guinea,2014,0.45932796810075643
Peru,2014,0.09576132656610786
Philippines,2014,0.1147406450332414
Poland,2014,0.004596803775920249
Qatar,2014,1.4823211389309963
Romania,2014,0.0132674368476077
Russia,2014,15.782741822190895
Rwanda,2014,0.0
Saudi Arabia,2014,1.5210508567414904
Senegal,2014,0.0
Serbia,2014,0.0026184952544562
Singapore,2014,0.0011754012898727
South Africa,2014,0.008822993318407699
South Korea,2014,0.0
Spain,2014,0.0212717790515134
Sudan,2014,0.3537181556950672
Sweden,2014,0.0002844162581357
Syria,2014,0.23988684306602326
Tanzania,2014,0.0009716154155759
Thailand,2014,0.24120392016442815
Timor-Leste,2014,0.0388523763565009
Trinidad and Tobago,2014,0.26864442980787573
Tunisia,2014,0.28457938339890987
Turkiye,2014,0.002200658793337677
Turkmenistan,2014,1.807251767736405
Uganda,2014,4.7046197244321e-05
Ukraine,2014,0.07186002149222286
United Arab Emirates,2014,0.8528495925915895
United Kingdom,2014,0.7577437059856583
United States,2014,4.527996894752877
Uzbekistan,2014,1.011256215850694
Venezuela,2014,20.48391895792677
Vietnam,2014,0.6600322727221987
Yemen,2014,1.169478730462758
Zimbabwe,2014,0.0
Albania,2015,0.005199107550750824
Algeria,2015,11.951120087420179
Angola,2015,5.003726392558989
Argentina,2015,0.30767937817768176
Australia,2015,0.9920236128261078
Austria,2015,0.0
Azerbaijan,2015,0.1498920872390742
Bahrain,2015,0.01779371755476722
Bangladesh,2015,0.0037923230426922293
Belarus,2015,0.004444698646177479
Belize,2015,0.0002180406007364
Bolivia,2015,0.028376021203485074
Brazil,2015,0.8414340054737779
Brunei,2015,0.1958895185583231
Cambodia,2015,0.0
Cameroon,2015,0.7843925636073119
Canada,2015,0.6197244911818618
Chad,2015,0.2126820251092047
Chile,2015,0.016686049150158623
China,2015,0.9989644337599224
Colombia,2015,0.332013016262094
"Congo, Rep.",2015,0.8264925418419676
Croatia,2015,0.0018759073931802076
Cuba,2015,0.038597419080847885
Dem Rep of the Congo,2015,0.16642008238899011
Denmark,2015,0.0578943509361942
Ecuador,2015,0.39355557571983313
Egypt,2015,2.1404059177274966
Equatorial Guinea,2015,0.4737224785063439
Eritrea,2015,2.26511841290823e-05
Ethiopia,2015,0.0001558461870273
France,2015,0.008490400235038867
Gabon,2015,0.8818506549005768
Georgia,2015,0.00084433338007
